document_id,dataset,split,model,field_path,field_family,criticality,occurrence,truth,prediction,truth_present,prediction_present,exact_match,error_type,severity_weight
cord-v2-validation-00037,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,-,gyro platter - regular,True,True,False,partial string mismatch,2
cord-v2-validation-00037,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,2,gyro platter regular,,True,False,False,missing field,2
cord-v2-validation-00039,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,pkt telor/perkedel,pkt tel graperkedel,True,True,False,incorrect value,2
cord-v2-validation-00039,CORD v2,validation,Donut,total.menuqty_cnt,other_numeric,low_impact_descriptive,0,5.00,5.00xitems,True,True,False,numeric normalization,2
cord-v2-validation-00040,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,1,1,,True,False,False,missing field,5
cord-v2-validation-00040,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,2,1,,True,False,False,missing field,5
cord-v2-validation-00040,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,gojek chicken chilli sauce h,gojek chicken,True,True,False,partial string mismatch,2
cord-v2-validation-00040,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,gojek chicken soy sauce f,chilli sauce h,True,True,False,incorrect value,2
cord-v2-validation-00040,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,2,gojek french fries,soy sauce f,True,True,False,incorrect value,2
cord-v2-validation-00040,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,1,"180,000",,True,False,False,missing field,10
cord-v2-validation-00040,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,2,"70,000",,True,False,False,missing field,10
cord-v2-validation-00040,CORD v2,validation,Donut,menu.price.cnt,other_numeric,medium_impact,0,,1,False,True,False,spurious field,5
cord-v2-validation-00040,CORD v2,validation,Donut,menu.price.cnt,other_numeric,medium_impact,1,,1,False,True,False,spurious field,5
cord-v2-validation-00040,CORD v2,validation,Donut,sub_total.service_price,other_numeric,medium_impact,0,0,,True,False,False,missing field,5
cord-v2-validation-00041,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,5,2,1,True,True,False,incorrect value,5
cord-v2-validation-00041,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,8,1,3,True,True,False,incorrect value,5
cord-v2-validation-00041,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,10,1,,True,False,False,missing field,5
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,sogogi japchae,sir,True,True,False,incorrect value,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,gong gibab,sogogi japchae,True,True,False,incorrect value,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,2,chulpan cheese dak galbi,gong gibbb,True,True,False,incorrect value,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,3,cream teok po ki,chulpan cheese dak galbi,True,True,False,incorrect value,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,4,el keun hwangtae,cream teok po ki,True,True,False,incorrect value,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,5,sundubu(tukbegi) cham kkot sal,el keun hwangtae,True,True,False,incorrect value,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,6,u sam gyeop,sundubu(tukbegi),True,True,False,incorrect value,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,7,u seol,cham kkot sal,True,True,False,incorrect value,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,9,ice coffe mix,u seol u sam gyeden,True,True,False,incorrect value,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,10,ice black coffe,ice coffe mix,True,True,False,incorrect value,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,11,,ice black coffe,False,True,False,spurious field,2
cord-v2-validation-00041,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,2,"230,000","105,000",True,True,False,incorrect value,10
cord-v2-validation-00041,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,3,"95,000","230,000",True,True,False,incorrect value,10
cord-v2-validation-00041,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,4,"120,000","95,000",True,True,False,incorrect value,10
cord-v2-validation-00041,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,5,"620,000","120,000",True,True,False,incorrect value,10
cord-v2-validation-00041,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,6,"290,000","620,000",True,True,False,incorrect value,10
cord-v2-validation-00041,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,7,"390,000","290,000",True,True,False,incorrect value,10
cord-v2-validation-00041,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,8,0,"390,000",True,True,False,partial string mismatch,10
cord-v2-validation-00041,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,11,,0,False,True,False,spurious field,10
cord-v2-validation-00041,CORD v2,validation,Donut,sub_total.discount_price,other_numeric,critical_monetary,0,0,"140,000",True,True,False,partial string mismatch,10
cord-v2-validation-00041,CORD v2,validation,Donut,sub_total.service_price,other_numeric,medium_impact,0,"140,000","212,460",True,True,False,incorrect value,5
cord-v2-validation-00041,CORD v2,validation,Donut,sub_total.tax_price,tax,critical_monetary,0,"212,460","2,352,460",True,True,False,incorrect value,10
cord-v2-validation-00043,CORD v2,validation,Donut,total.menuqty_cnt,other_numeric,low_impact_descriptive,0,171,1,True,True,False,partial string mismatch,2
cord-v2-validation-00044,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,16.363,"16,363",True,True,False,numeric normalization,10
cord-v2-validation-00044,CORD v2,validation,Donut,sub_total.subtotal_price,subtotal,critical_monetary,0,16.363,"16,363",True,True,False,numeric normalization,10
cord-v2-validation-00047,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,- sedang,sedang,True,True,False,partial string mismatch,5
cord-v2-validation-00051,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,1,10.000,"10,000",True,True,False,numeric normalization,10
cord-v2-validation-00052,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,kenthir 2,kenthir,True,True,False,partial string mismatch,2
cord-v2-validation-00054,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,x1,x 1,True,True,False,numeric normalization,5
cord-v2-validation-00054,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,1,x1,x 1,True,True,False,numeric normalization,5
cord-v2-validation-00054,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,10.000,"10,000",True,True,False,numeric normalization,5
cord-v2-validation-00055,CORD v2,validation,Donut,menu.discountprice,other_numeric,medium_impact,0,60.000),,True,False,False,missing field,5
cord-v2-validation-00055,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,2,,bca pay... (100%),False,True,False,spurious field,2
cord-v2-validation-00055,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,2,,60.000),False,True,False,spurious field,10
cord-v2-validation-00056,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,,1,False,True,False,spurious field,5
cord-v2-validation-00056,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,thai iced t. .x1,thai iced t..x],True,True,False,incorrect value,2
cord-v2-validation-00058,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,0,rp 0,True,True,False,numeric normalization,5
cord-v2-validation-00059,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,3,df fish fillet garlc,df fish filiet garic,True,True,False,incorrect value,2
cord-v2-validation-00059,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,8,onde-onde,onde- onde,True,True,False,incorrect value,2
cord-v2-validation-00059,CORD v2,validation,Donut,total.menuqty_cnt,other_numeric,low_impact_descriptive,0,13,,True,False,False,missing field,2
cord-v2-validation-00060,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,"180,000",180.000,True,True,False,numeric normalization,10
cord-v2-validation-00060,CORD v2,validation,Donut,total.creditcardprice,other_numeric,medium_impact,0,"180,000",180.000,True,True,False,numeric normalization,5
cord-v2-validation-00060,CORD v2,validation,Donut,total.total_price,total,critical_monetary,0,"180,000",180.000,True,True,False,numeric normalization,10
cord-v2-validation-00061,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,populaire chocolate,populaire cho clate,True,True,False,incorrect value,2
cord-v2-validation-00061,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,paddle pop choco magma,paddle pop ch : 0 magma,True,True,False,incorrect value,2
cord-v2-validation-00061,CORD v2,validation,Donut,total.total_etc,other_numeric,medium_impact,0,50,,True,False,False,missing field,5
cord-v2-validation-00062,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,2,9.091,"9,091",True,True,False,numeric normalization,10
cord-v2-validation-00063,CORD v2,validation,Donut,menu.unitprice,other_numeric,medium_impact,0,"43,636",43.636,True,True,False,numeric normalization,5
cord-v2-validation-00063,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,"110,000",110.000,True,True,False,numeric normalization,5
cord-v2-validation-00063,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,53.200,"53,200",True,True,False,numeric normalization,5
cord-v2-validation-00068,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,2 x,2x,True,True,False,numeric normalization,5
cord-v2-validation-00069,CORD v2,validation,Donut,total.menuqty_cnt,other_numeric,low_impact_descriptive,0,,3,False,True,False,spurious field,2
cord-v2-validation-00071,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,1,,1,False,True,False,spurious field,5
cord-v2-validation-00071,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,,ice,False,True,False,spurious field,2
cord-v2-validation-00071,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,1,,1.000,False,True,False,spurious field,10
cord-v2-validation-00071,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,0,1,,True,False,False,missing field,5
cord-v2-validation-00071,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,ice,,True,False,False,missing field,5
cord-v2-validation-00071,CORD v2,validation,Donut,menu.sub.price,other_numeric,medium_impact,0,1.000,,True,False,False,missing field,5
cord-v2-validation-00075,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,4,1,,True,False,False,missing field,5
cord-v2-validation-00075,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,2,mango float,f.wngr ges-hc,True,True,False,incorrect value,2
cord-v2-validation-00075,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,3,f.wngr ges-hc,charge ta,True,True,False,incorrect value,2
cord-v2-validation-00075,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,4,charge ta,,True,False,False,missing field,2
cord-v2-validation-00075,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,2,"5,909",0,True,True,False,partial string mismatch,10
cord-v2-validation-00075,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,3,0,909,True,True,False,partial string mismatch,10
cord-v2-validation-00075,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,4,909,,True,False,False,missing field,10
cord-v2-validation-00076,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,1,10,,True,False,False,missing field,5
cord-v2-validation-00076,CORD v2,validation,Donut,menu.unitprice,other_numeric,medium_impact,1,6.800,,True,False,False,missing field,5
cord-v2-validation-00076,CORD v2,validation,Donut,total.menuqty_cnt,other_numeric,low_impact_descriptive,0,11,2,True,True,False,incorrect value,2
cord-v2-validation-00076,CORD v2,validation,Donut,total.menutype_cnt,other_numeric,medium_impact,0,2,,True,False,False,missing field,5
cord-v2-validation-00077,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,rp 100000.00,rp 10000.00,True,True,False,incorrect value,5
cord-v2-validation-00078,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,3,9.000,9 000,True,True,False,numeric normalization,10
cord-v2-validation-00079,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,crab stick,krab stick,True,True,False,incorrect value,2
cord-v2-validation-00079,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,5,maling,mallng,True,True,False,incorrect value,2
cord-v2-validation-00079,CORD v2,validation,Donut,menu.unitprice,other_numeric,medium_impact,0,12000,,True,False,False,missing field,5
cord-v2-validation-00080,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,25.000,25 000,True,True,False,numeric normalization,10
cord-v2-validation-00080,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,25.000,25 000,True,True,False,numeric normalization,5
cord-v2-validation-00082,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,0,17.000,"17,000",True,True,False,numeric normalization,10
cord-v2-validation-00084,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,1,1 x,,True,False,False,missing field,5
cord-v2-validation-00084,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,hazelnut choco mt (r),hazelnut choco iii ( r ),True,True,False,incorrect value,2
cord-v2-validation-00084,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,hazelnut choco mt (r),,True,False,False,missing field,2
cord-v2-validation-00084,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,1,"24,000",,True,False,False,missing field,10
cord-v2-validation-00084,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,0,,1 x,False,True,False,spurious field,5
cord-v2-validation-00084,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,pearl (r),pearl ( r ),True,True,False,incorrect value,5
cord-v2-validation-00084,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,1,,hazelnut choco iii ( r ),False,True,False,spurious field,5
cord-v2-validation-00084,CORD v2,validation,Donut,menu.sub.price,other_numeric,medium_impact,1,,"24,000",False,True,False,spurious field,5
cord-v2-validation-00086,CORD v2,validation,Donut,menu.sub.price,other_numeric,medium_impact,0,"26,000",,True,False,False,missing field,5
cord-v2-validation-00086,CORD v2,validation,Donut,menu.unitprice,other_numeric,medium_impact,0,,"26,000",False,True,False,spurious field,5
cord-v2-validation-00088,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,bread n cheese del,bread m cheese del,True,True,False,incorrect value,5
cord-v2-validation-00089,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,0,x1,x 1,True,True,False,numeric normalization,5
cord-v2-validation-00089,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,1,x1,x 1,True,True,False,numeric normalization,5
cord-v2-validation-00089,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,chocochip & walnut,1023-chocochip & walnut,True,True,False,partial string mismatch,2
cord-v2-validation-00089,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,plastic bag small,6001-plastic bag small,True,True,False,partial string mismatch,2
cord-v2-validation-00089,CORD v2,validation,Donut,menu.num,other_numeric,medium_impact,0,1023-,,True,False,False,missing field,5
cord-v2-validation-00089,CORD v2,validation,Donut,menu.num,other_numeric,medium_impact,1,6001-,,True,False,False,missing field,5
cord-v2-validation-00090,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,regular,cinemaxx,True,True,False,incorrect value,2
cord-v2-validation-00090,CORD v2,validation,Donut,menu.num,other_numeric,medium_impact,0,,regular,False,True,False,spurious field,5
cord-v2-validation-00090,CORD v2,validation,Donut,menu.unitprice,other_numeric,medium_impact,0,35000.00,"35000,00",True,True,False,numeric normalization,5
cord-v2-validation-00090,CORD v2,validation,Donut,sub_total.discount_price,other_numeric,critical_monetary,0,,70000.00,False,True,False,spurious field,10
cord-v2-validation-00090,CORD v2,validation,Donut,sub_total.subtotal_price,subtotal,critical_monetary,0,,70000.00,False,True,False,spurious field,10
cord-v2-validation-00090,CORD v2,validation,Donut,total.cashprice,other_numeric,medium_impact,0,,0.00,False,True,False,spurious field,5
cord-v2-validation-00090,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,0.00,,True,False,False,missing field,5
cord-v2-validation-00090,CORD v2,validation,Donut,total.total_etc,other_numeric,medium_impact,0,70000.00,,True,False,False,missing field,5
cord-v2-validation-00091,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,,add chicken box,False,True,False,spurious field,2
cord-v2-validation-00091,CORD v2,validation,Donut,menu.price,item_price,critical_monetary,1,,909,False,True,False,spurious field,10
cord-v2-validation-00091,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,add chicken box,,True,False,False,missing field,5
cord-v2-validation-00091,CORD v2,validation,Donut,menu.sub.price,other_numeric,medium_impact,0,909,,True,False,False,missing field,5
cord-v2-validation-00091,CORD v2,validation,Donut,total.changeprice,other_numeric,medium_impact,0,"rp. 6,000","rp.6,000",True,True,False,numeric normalization,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,2,,1,False,True,False,spurious field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,3,,1,False,True,False,spurious field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,4,,1,False,True,False,spurious field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,5,,1,False,True,False,spurious field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,6,,1,False,True,False,spurious field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,7,,1,False,True,False,spurious field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,8,,1,False,True,False,spurious field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,9,,1,False,True,False,spurious field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.cnt,item_count,medium_impact,10,,1,False,True,False,spurious field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,0,paket ber4,bread n cheese del,True,True,False,incorrect value,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,1,50% chicken royal,bread n cheese del,True,True,False,incorrect value,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,2,,crabstick fusilli del,False,True,False,spurious field,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,3,,lime squash del,False,True,False,spurious field,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,4,,lime squash del,False,True,False,spurious field,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,5,,p/p spicy tuna del,False,True,False,spurious field,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,6,,p/p thuosand isl del,False,True,False,spurious field,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,7,,p/p beef corn,False,True,False,spurious field,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,8,,sunrise italian soda,False,True,False,spurious field,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,9,,lipton ice tea del,False,True,False,spurious field,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.nm,item_name,low_impact_descriptive,10,,chicken royal,False,True,False,spurious field,2
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,0,1,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,1,1,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,2,1,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,3,1,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,4,1,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,5,1,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,6,1,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,7,1,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,8,1,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.cnt,other_numeric,medium_impact,9,1,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,0,bread n cheese del,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,1,bread n cheese del,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,2,crabstick fusilli del,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,3,lime squash del,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,4,lime squash del,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,5,p/p spicy tuna del,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,6,p/p thuosand isl del,,True,False,False,missing field,5
cord-v2-validation-00093,CORD v2,validation,Donut,menu.sub.nm,free_text,medium_impact,7,p/p beef corn,,True,False,False,missing field,5
